frame,cpu_ms,gpu_ms,draw_calls,cpu_avg_ms,cpu_p95_ms,cpu_p99_ms,gpu_avg_ms,gpu_p95_ms,gpu_p99_ms,terrain_gpu_ms,ui_gpu_ms,vegetation_gpu_ms,vegetation_shadows_gpu_ms
98,3.779,8.252,1512,4.373,5.779,6.269,8.867,9.660,9.837,1.327,0.076,2.357,4.491
99,4.279,9.667,1512,4.372,5.777,6.263,8.875,9.673,9.837,1.323,0.077,2.363,5.904
100,4.189,8.247,1512,4.371,5.774,6.256,8.869,9.670,9.837,1.314,0.076,2.362,4.495
101,4.418,9.396,1512,4.371,5.771,6.250,8.874,9.667,9.836,1.304,0.078,2.362,5.652
102,4.734,8.213,1512,4.375,5.767,6.246,8.867,9.666,9.836,1.316,0.076,2.349,4.471
103,4.260,9.606,1512,4.374,5.763,6.242,8.875,9.665,9.836,1.345,0.076,2.363,5.823
104,4.603,9.425,1512,4.376,5.758,6.238,8.880,9.664,9.836,1.314,0.081,3.558,4.473
105,4.413,8.224,1512,4.376,5.754,6.234,8.874,9.663,9.836,1.311,0.078,2.363,4.471
106,4.896,9.308,1512,4.381,5.749,6.230,8.878,9.662,9.836,1.294,0.076,2.351,5.587
107,4.842,8.231,1512,4.385,5.745,6.226,8.872,9.661,9.835,1.320,0.078,2.360,4.472
108,4.577,9.566,1512,4.387,5.741,6.222,8.878,9.660,9.835,1.411,0.076,2.351,5.727
109,5.634,8.243,1512,4.398,5.736,6.219,8.872,9.659,9.835,1.309,0.093,2.364,4.477
110,4.760,8.214,1512,4.402,5.732,6.215,8.866,9.658,9.835,1.294,0.076,2.355,4.489
111,5.081,8.216,1512,4.408,5.727,6.211,8.860,9.658,9.835,1.300,0.074,2.361,4.481
112,4.920,8.250,1512,4.412,5.723,6.207,8.855,9.657,9.835,1.287,0.125,2.354,4.484
113,4.262,9.535,1512,4.411,5.719,6.203,8.861,9.656,9.835,1.378,0.082,2.367,5.709
114,4.039,8.301,1512,4.408,5.714,6.199,8.856,9.655,9.834,1.364,0.082,2.357,4.497
115,4.313,9.539,1512,4.407,5.710,6.195,8.862,9.654,9.834,1.393,0.099,2.371,5.675
116,6.011,9.504,1512,4.421,5.784,6.214,8.867,9.653,9.834,1.424,0.085,3.489,4.505
117,5.311,8.255,1512,4.428,5.782,6.212,8.862,9.652,9.834,1.324,0.077,2.371,4.483
118,4.018,9.783,1512,4.425,5.779,6.209,8.870,9.675,9.834,1.332,0.075,2.369,6.007
119,3.488,8.283,1512,4.417,5.777,6.207,8.865,9.673,9.834,1.339,0.087,2.373,4.485
120,3.699,9.496,1512,4.411,5.774,6.205,8.870,9.670,9.833,1.311,0.079,2.368,5.738
121,4.545,8.288,1512,4.412,5.771,6.202,8.866,9.667,9.833,1.335,0.089,2.369,4.496
122,3.661,9.535,1512,4.406,5.767,6.200,8.871,9.666,9.833,2.628,0.082,2.354,4.472
123,4.413,9.339,1512,4.406,5.763,6.198,8.875,9.665,9.833,1.308,0.084,3.482,4.465
124,3.821,8.282,1512,4.401,5.758,6.195,8.870,9.664,9.833,1.353,0.085,2.355,4.488
125,4.146,9.320,1512,4.399,5.754,6.193,8.874,9.663,9.833,1.315,0.078,2.371,5.556
126,4.032,8.242,1512,4.396,5.749,6.190,8.869,9.662,9.833,1.324,0.076,2.365,4.477
127,4.175,9.464,1512,4.395,5.745,6.188,8.873,9.661,9.832,1.329,0.076,2.376,5.683
128,4.662,8.327,1516,4.397,5.741,6.186,8.869,9.660,9.832,1.359,0.094,2.359,4.516
129,3.740,8.270,1516,4.392,5.736,6.183,8.864,9.659,9.832,1.293,0.075,2.386,4.516
130,4.511,9.491,1516,4.393,5.732,6.181,8.869,9.658,9.832,1.324,0.077,3.584,4.506
131,4.020,8.902,1606,4.390,5.727,6.178,8.870,9.658,9.832,1.392,0.074,2.572,4.864
132,4.145,10.036,1606,4.388,5.723,6.176,8.878,9.693,9.859,1.370,0.078,2.563,6.025
133,4.425,10.064,1606,4.388,5.719,6.174,8.887,9.738,9.983,1.367,1.258,2.574,4.865
134,3.801,8.856,1606,4.384,5.714,6.171,8.887,9.736,9.981,1.359,0.075,2.546,4.876
135,4.643,10.058,1606,4.386,5.710,6.169,8.896,9.765,10.051,1.348,0.082,2.551,6.077
136,4.095,8.935,1606,4.384,5.705,6.166,8.896,9.763,10.050,1.406,0.110,2.559,4.861
137,3.870,9.315,1584,4.380,5.701,6.164,8.899,9.762,10.050,1.321,0.077,2.326,5.591
138,5.950,9.224,1584,4.391,5.779,6.162,8.901,9.761,10.050,1.226,0.096,3.502,4.401
